iter	Passed	Remaining
0	332	99269
1	741	110485
2	1153	114226
3	1583	117187
4	1992	117572
5	2506	122825
6	2897	121280
7	3312	120894
8	3747	121153
9	4172	121001
10	4578	120300
11	5044	121065
12	5474	120861
13	5906	120658
14	6328	120237
15	6791	120547
16	7217	120146
17	7634	119607
18	8179	120969
19	8682	121555
20	9106	120981
21	9514	120225
22	9908	119331
23	10309	118560
24	10696	117664
25	11098	116959
26	11524	116524
27	11944	116036
28	12451	116361
29	12877	115893
30	13300	115411
31	13735	115032
32	14153	114513
33	14561	113921
34	14982	113439
35	15395	112903
36	15832	112540
37	16244	112000
38	16668	111548
39	17083	111043
40	17506	110588
41	17926	110122
42	18326	109531
43	18766	109185
44	19184	108712
45	19574	108084
46	20015	107743
47	20433	107273
48	20827	106687
49	21247	106237
50	21662	105764
51	22070	105259
52	22490	104812
53	22897	104310
54	23441	104420
55	23967	104430
56	24452	104246
57	24919	103972
58	25408	103787
59	25866	103467
60	26426	103538
61	27137	104174
62	27687	104157
63	28134	103744
64	28567	103280
65	28992	102790
66	29433	102358
67	29846	101829
68	30276	101360
69	30690	100840
70	31126	100393
71	31541	99880
72	31980	99446
73	32437	99064
74	32844	98532
75	33258	98025
76	33681	97546
77	34087	97017
78	34598	96789
79	35022	96311
80	35428	95788
81	35863	95343
82	36277	94847
83	36675	94308
84	37072	93772
85	37481	93267
86	37879	92738
87	38309	92291
88	38708	91768
89	39127	91297
90	39523	90773
91	39934	90287
92	40346	89804
93	40752	89309
94	41171	88843
95	41578	88353
96	41983	87861
97	42384	87364
98	42807	86912
99	43217	86434
100	43609	85922
101	44016	85444
102	44426	84970
103	44825	84478
104	45237	84012
105	45642	83534
106	46045	83054
107	46444	82568
108	46859	82111
109	47294	81689
110	47701	81222
111	48119	80771
112	48516	80288
113	48930	79833
114	49345	79381
115	49761	78931
116	50182	78490
117	50595	78036
118	50991	77558
119	51396	77094
120	51804	76635
121	52212	76179
122	52609	75705
123	53011	75242
124	53433	74806
125	53879	74404
126	54289	73953
127	54689	73488
128	55107	73049
129	55519	72602
130	55948	72178
131	56361	71733
132	56759	71269
133	57176	70830
134	57587	70385
135	58002	69944
136	58429	69518
137	58846	69080
138	59292	68677
139	59713	68243
140	60141	67819
141	60577	67402
142	60991	66962
143	61411	66529
144	61830	66094
145	62259	65670
146	62681	65239
147	63090	64795
148	63501	64353
149	63915	63915
150	64322	63470
151	64753	63049
152	65161	62606
153	65564	62158
154	65955	61700
155	66346	61243
156	66749	60796
157	67141	60342
158	67546	59899
159	67936	59444
160	68337	58999
161	68753	58567
162	69156	58125
163	69570	57692
164	69979	57255
165	70383	56815
166	70787	56375
167	71209	55950
168	71632	55526
169	72045	55093
170	72478	54677
171	72891	54244
172	73296	53807
173	73717	53381
174	74131	52951
175	74531	52510
176	74947	52082
177	75350	51644
178	75752	51207
179	76171	50780
180	76576	50345
181	77096	49985
182	77511	49556
183	77921	49124
184	78327	48690
185	78739	48259
186	79141	47823
187	79539	47385
188	79934	46945
189	80356	46522
190	80761	46088
191	81157	45650
192	81565	45219
193	81959	44782
194	82365	44350
195	82747	43906
196	83128	43463
197	83511	43021
198	83893	42579
199	84299	42149
200	84699	41717
201	85085	41279
202	85487	40848
203	85883	40415
204	86288	39987
205	86680	39553
206	87093	39129
207	87477	38692
208	87870	38259
209	88272	37831
210	88664	37398
211	89066	36970
212	89455	36538
213	89846	36106
214	90243	35677
215	90634	35246
216	91034	34819
217	91433	34392
218	91829	33964
219	92221	33534
220	92626	33110
221	93011	32679
222	93425	32258
223	93825	31833
224	94229	31409
225	94632	30986
226	95039	30563
227	95449	30141
228	95850	29717
229	96272	29300
230	96678	28877
231	97071	28451
232	97466	28026
233	97851	27599
234	98244	27174
235	98646	26751
236	99043	26328
237	99432	25902
238	99810	25474
239	100206	25051
240	100578	24622
241	100971	24199
242	101368	23777
243	101746	23351
244	102122	22925
245	102511	22502
246	102904	22080
247	103291	21657
248	103667	21233
249	104061	20812
250	104463	20393
251	104870	19975
252	105271	19556
253	105674	19137
254	106078	18719
255	106465	18298
256	106858	17879
257	107241	17457
258	107623	17036
259	108006	16616
260	108391	16196
261	108788	15778
262	109184	15360
263	109864	14981
264	110428	14584
265	110866	14170
266	111267	13752
267	111647	13330
268	112021	12909
269	112415	12490
270	112785	12069
271	113196	11652
272	113593	11234
273	114001	10817
274	114398	10399
275	114787	9981
276	115268	9571
277	115671	9153
278	116069	8736
279	116442	8317
280	116822	7899
281	117198	7480
282	117578	7062
283	117958	6645
284	118358	6229
285	118736	5812
286	119112	5395
287	119487	4978
288	119875	4562
289	120269	4147
290	120655	3731
291	121031	3315
292	121426	2900
293	121810	2485
294	122216	2071
295	122629	1657
296	123027	1242
297	123422	828
298	123846	414
299	124255	0
